"year","fips","pop2020","pop2024","state","stateCode","growthSince2020","name","county","slug","landArea","density","rank","densityMi","areaMi"
2024,55093,42229,43500,"Wisconsin","WI",0.030097800089985638,"Pierce County","Pierce County","wisconsin/pierce-county",574,75.78397212543554,35,75.78397212543554,574
2024,55075,41889,42246,"Wisconsin","WI",0.00852252381293428,"Marinette County","Marinette County","wisconsin/marinette-county",1399,30.197283774124376,36,30.197283774124376,1399
2024,55115,40855,41231,"Wisconsin","WI",0.009203279892302074,"Shawano County","Shawano County","wisconsin/shawano-county",893,46.171332586786114,37,46.171332586786114,893
2024,55083,39077,39854,"Wisconsin","WI",0.019883819126340407,"Oconto County","Oconto County","wisconsin/oconto-county",997,39.973921765295884,38,39.973921765295884,997
2024,55085,37869,38259,"Wisconsin","WI",0.01029866117404743,"Oneida County","Oneida County","wisconsin/oneida-county",1114,34.343806104129264,39,34.343806104129264,1114
2024,55045,37035,37017,"Wisconsin","WI",-0.000486026731470246,"Green County","Green County","wisconsin/green-county",584,63.38527397260274,40,63.38527397260274,584
2024,55019,34672,34816,"Wisconsin","WI",0.004153207198892561,"Clark County","Clark County","wisconsin/clark-county",1210,28.773553719008266,41,28.773553719008266,1210
2024,55123,30696,31277,"Wisconsin","WI",0.018927547563200475,"Vernon County","Vernon County","wisconsin/vernon-county",792,39.49116161616162,42,39.49116161616162,792
2024,55121,30818,30907,"Wisconsin","WI",0.0028879226426115068,"Trempealeau County","Trempealeau County","wisconsin/trempealeau-county",733,42.165075034106415,43,42.165075034106415,733
2024,55029,30117,30573,"Wisconsin","WI",0.015140950293853983,"Door County","Door County","wisconsin/door-county",482,63.42946058091286,44,63.42946058091286,482
2024,55069,28426,28455,"Wisconsin","WI",0.0010201927812565348,"Lincoln County","Lincoln County","wisconsin/lincoln-county",879,32.37201365187713,45,32.37201365187713,879
2024,55057,26775,26413,"Wisconsin","WI",-0.013520074696545259,"Juneau County","Juneau County","wisconsin/juneau-county",767,34.4367666232073,46,34.4367666232073,767
2024,55137,24550,24941,"Wisconsin","WI",0.01592668024439914,"Waushara County","Waushara County","wisconsin/waushara-county",626,39.84185303514377,47,39.84185303514377,626
2024,55125,23097,24028,"Wisconsin","WI",0.04030826514265917,"Vilas County","Vilas County","wisconsin/vilas-county",858,28.004662004662006,48,28.004662004662006,858
2024,55049,23719,23954,"Wisconsin","WI",0.009907668957376048,"Iowa County","Iowa County","wisconsin/iowa-county",763,31.394495412844037,49,31.394495412844037,763
2024,55001,20677,21646,"Wisconsin","WI",0.04686366494172267,"Adams County","Adams County","wisconsin/adams-county",646,33.5077399380805,50,33.5077399380805,646
2024,55053,21096,20817,"Wisconsin","WI",-0.013225255972696193,"Jackson County","Jackson County","wisconsin/jackson-county",988,21.06983805668016,51,21.06983805668016,988
2024,55061,20563,20727,"Wisconsin","WI",0.007975489957690929,"Kewaunee County","Kewaunee County","wisconsin/kewaunee-county",342,60.60526315789474,52,60.60526315789474,342
2024,55119,19932,20175,"Wisconsin","WI",0.012191450933172865,"Taylor County","Taylor County","wisconsin/taylor-county",975,20.692307692307693,53,20.692307692307693,975
2024,55047,19017,19480,"Wisconsin","WI",0.02434663721933017,"Green Lake County","Green Lake County","wisconsin/green-lake-county",350,55.65714285714286,54,55.65714285714286,350
2024,55067,19463,19306,"Wisconsin","WI",-0.008066587884704268,"Langlade County","Langlade County","wisconsin/langlade-county",871,22.165327210103328,55,22.165327210103328,871
2024,55113,18118,18583,"Wisconsin","WI",0.025665084446406805,"Sawyer County","Sawyer County","wisconsin/sawyer-county",1258,14.771860095389506,56,14.771860095389506,1258
2024,55103,17283,17266,"Wisconsin","WI",-0.0009836255279754846,"Richland County","Richland County","wisconsin/richland-county",586,29.4641638225256,57,29.4641638225256,586
2024,55013,16577,17196,"Wisconsin","WI",0.037340894009772585,"Burnett County","Burnett County","wisconsin/burnett-county",822,20.919708029197082,58,20.919708029197082,822
2024,55129,16616,16989,"Wisconsin","WI",0.022448242657679307,"Washburn County","Washburn County","wisconsin/washburn-county",797,21.316185696361355,59,21.316185696361355,797
2024,55065,16618,16984,"Wisconsin","WI",0.022024310988085105,"Lafayette County","Lafayette County","wisconsin/lafayette-county",634,26.78864353312303,60,26.78864353312303,634
2024,55007,16237,16879,"Wisconsin","WI",0.03953932376670566,"Bayfield County","Bayfield County","wisconsin/bayfield-county",1478,11.420162381596752,61,11.420162381596752,1478
2024,55003,16022,16118,"Wisconsin","WI",0.005991761328173695,"Ashland County","Ashland County","wisconsin/ashland-county",1045,15.423923444976076,62,15.423923444976076,1045
2024,55077,15590,15899,"Wisconsin","WI",0.01982039769082755,"Marquette County","Marquette County","wisconsin/marquette-county",456,34.86622807017544,63,34.86622807017544,456
2024,55023,16085,15873,"Wisconsin","WI",-0.013179981349083048,"Crawford County","Crawford County","wisconsin/crawford-county",571,27.798598949211907,64,27.798598949211907,571
2024,55107,14175,14187,"Wisconsin","WI",0.0008465608465608732,"Rusk County","Rusk County","wisconsin/rusk-county",914,15.521881838074398,65,15.521881838074398,914
2024,55099,14025,14045,"Wisconsin","WI",0.0014260249554367554,"Price County","Price County","wisconsin/price-county",1254,11.200159489633174,66,11.200159489633174,1254
2024,55011,13309,13448,"Wisconsin","WI",0.010444060410248701,"Buffalo County","Buffalo County","wisconsin/buffalo-county",676,19.893491124260354,67,19.893491124260354,676
2024,55041,9169,9318,"Wisconsin","WI",0.01625040898680341,"Forest County","Forest County","wisconsin/forest-county",1014,9.189349112426035,68,9.189349112426035,1014
2024,55091,7341,7504,"Wisconsin","WI",0.02220405939245329,"Pepin County","Pepin County","wisconsin/pepin-county",232,32.3448275862069,69,32.3448275862069,232
2024,55051,6139,6257,"Wisconsin","WI",0.019221371558885814,"Iron County","Iron County","wisconsin/iron-county",758,8.25461741424802,70,8.25461741424802,758
2024,55037,4565,4658,"Wisconsin","WI",0.02037239868565166,"Florence County","Florence County","wisconsin/florence-county",488,9.545081967213115,71,9.545081967213115,488
2024,55078,4257,4246,"Wisconsin","WI",-0.0025839793281653423,"Menominee County","Menominee County","wisconsin/menominee-county",358,11.860335195530727,72,11.860335195530727,358
